iter	F1	Logloss
0	0.7664384773	0.667993426
1	0.7787433817	0.6456354203
2	0.7801201614	0.6257549953
3	0.7790422667	0.6073173939
4	0.7807923688	0.5909971225
5	0.781104588	0.5765068203
6	0.7839894305	0.5630500663
7	0.784222076	0.5510936867
8	0.7878699193	0.5398926679
9	0.78883213	0.529886744
10	0.7875183953	0.5209053337
11	0.7888297447	0.5127246823
12	0.7898765405	0.5054481923
13	0.7893757744	0.4987812097
14	0.7892298057	0.4928790739
15	0.7890958356	0.4874705361
16	0.7889518735	0.4823661288
17	0.7902147447	0.477826768
18	0.7899890916	0.4740120944
19	0.7897946321	0.4705495813
20	0.7904351292	0.4671360546
21	0.790507097	0.4638740039
22	0.7911116255	0.4607356292
23	0.7908209156	0.4582458759
24	0.7905757798	0.4557016157
25	0.7907919568	0.4533577254
26	0.7909502846	0.451124658
27	0.7913508346	0.4490286546
28	0.7914173585	0.4471792669
29	0.7916645119	0.4453894242
30	0.7915788759	0.4437998277
31	0.7922487431	0.44227302
32	0.7921986639	0.4410321401
33	0.7921391942	0.4398037222
34	0.7923321389	0.438700007
35	0.7923153515	0.4375731892
36	0.792657276	0.436576889
37	0.7928362794	0.4355833382
38	0.7927201412	0.434700843
39	0.7930403874	0.4337758239
40	0.793170189	0.432927287
41	0.7933699701	0.4320737588
42	0.793440673	0.4313541234
43	0.7936372304	0.430722736
44	0.7938247283	0.4300368438
45	0.7938426414	0.4294338331
46	0.7938639447	0.428994733
47	0.7938290528	0.4283877166
48	0.7938942005	0.4278535818
49	0.7938457284	0.4274073641
50	0.793997985	0.4268857795
51	0.7939843981	0.426423597
52	0.7939864799	0.4260656569
53	0.7941266356	0.4257025043
54	0.7943419562	0.4252416416
55	0.7944203807	0.4248846984
56	0.7945486856	0.424562453
57	0.7945788833	0.4242140201
58	0.7948622881	0.4238634388
59	0.7947568418	0.42369736
60	0.7951216106	0.4233335227
61	0.7952406467	0.4230147023
62	0.7953204673	0.422718661
63	0.7953716845	0.4224470985
64	0.7953822373	0.4222224637
65	0.7955825447	0.4219300478
66	0.7955599296	0.4216568778
67	0.7958340171	0.4214027225
68	0.7957978431	0.4211675496
69	0.7959800504	0.4209780609
70	0.7961305056	0.4207412293
71	0.7961186574	0.4205460929
72	0.7960101076	0.4203056177
73	0.7961019413	0.4201038418
74	0.7962297195	0.4199191647
75	0.7961561071	0.4197273335
76	0.7962299567	0.4195651474
77	0.7961755658	0.4193802181
78	0.7962282416	0.4192508639
79	0.7963124166	0.4191175033
80	0.7963606598	0.4189726689
81	0.796663109	0.4187938909
82	0.7967099065	0.4186471639
83	0.79667664	0.4184833251
84	0.7967519645	0.4183539765
85	0.7967775616	0.418207438
86	0.7968272947	0.4181120498
87	0.7969505125	0.4179140086
88	0.7970089891	0.4177586023
89	0.7971789763	0.4176252947
90	0.7971142693	0.4175062224
91	0.7972002135	0.4174233005
92	0.797123431	0.417293232
93	0.7972842459	0.4171439477
94	0.7971606479	0.4170063313
95	0.7970955169	0.4168712723
96	0.7971447862	0.4167551818
97	0.7973778891	0.4166058425
98	0.7975072269	0.4164886073
99	0.7975520826	0.4163939597
100	0.7974874214	0.4163058042
101	0.7975144399	0.4161786378
102	0.7975428988	0.416083839
103	0.7976316905	0.4159791531
104	0.7977311202	0.4158990967
105	0.7977041053	0.4157836021
106	0.7977759468	0.4157275416
107	0.797783123	0.4156446795
108	0.797856972	0.4155721708
109	0.797783123	0.415500285
110	0.7980253463	0.4153975023
111	0.7980232754	0.415303586
112	0.7979471954	0.4152227172
113	0.7982100625	0.4151359191
114	0.7982100625	0.4150396554
115	0.7982186036	0.4149371977
116	0.7981568207	0.4148457785
117	0.7981973069	0.4147789489
118	0.7983187493	0.4146695466
119	0.7984707208	0.4145406348
120	0.7984586463	0.4144677159
121	0.7984628962	0.4143792126
122	0.7984657292	0.4143173593
123	0.7986261666	0.4142023356
124	0.7985772272	0.4141249553
125	0.7985971398	0.4140510603
126	0.7986575304	0.413973114
127	0.798687333	0.41390698
128	0.7987157213	0.4138119366
129	0.7987873836	0.413729939
130	0.7987618201	0.4136627886
131	0.7988654813	0.4136157708
132	0.7988859923	0.4135610314
133	0.7988511676	0.4134932994
134	0.7990129295	0.4134112791
135	0.7990278088	0.4133433365
136	0.7989255931	0.413218538
137	0.7990468883	0.4131604317
