iter	Passed	Remaining
0	158	189974
1	173	104000
2	188	75072
3	202	60581
4	217	51883
5	232	46218
6	247	42175
7	261	38939
8	276	36595
9	291	34691
10	307	33234
11	322	31940
12	338	30886
13	353	29962
14	368	29149
15	385	28535
16	402	27979
17	419	27528
18	436	27150
19	454	26841
20	471	26472
21	487	26115
22	505	25842
23	521	25537
24	539	25343
25	557	25155
26	574	24966
27	591	24775
28	609	24608
29	626	24446
30	645	24340
31	663	24202
32	681	24083
33	698	23949
34	715	23801
35	731	23652
36	747	23502
37	764	23390
38	781	23268
39	798	23158
40	816	23073
41	832	22961
42	849	22849
43	867	22779
44	885	22722
45	904	22683
46	922	22624
47	940	22578
48	959	22530
49	977	22485
50	994	22416
51	1012	22344
52	1029	22282
53	1046	22215
54	1064	22158
55	1082	22113
56	1100	22063
57	1118	22029
58	1136	21983
59	1148	21820
60	1165	21765
61	1182	21710
62	1202	21693
63	1220	21662
64	1238	21624
65	1256	21582
66	1273	21534
67	1291	21498
68	1308	21448
69	1327	21436
70	1345	21400
71	1365	21398
72	1384	21376
73	1404	21365
74	1423	21350
75	1441	21326
76	1459	21291
77	1478	21265
78	1497	21244
79	1515	21221
80	1535	21210
81	1554	21193
82	1572	21164
83	1590	21126
84	1607	21086
85	1624	21045
86	1641	21003
87	1659	20968
88	1677	20939
89	1694	20903
90	1711	20858
91	1728	20812
92	1745	20779
93	1763	20748
94	1780	20714
95	1800	20710
96	1819	20692
97	1839	20680
98	1858	20665
99	1875	20626
100	1892	20587
101	1909	20556
102	1927	20525
103	1945	20506
104	1963	20478
105	1983	20467
106	2001	20442
107	2018	20409
108	2036	20384
109	2053	20350
110	2071	20325
111	2089	20298
112	2106	20266
113	2124	20239
114	2141	20209
115	2160	20185
116	2177	20154
117	2195	20130
118	2213	20109
119	2231	20079
120	2248	20048
121	2265	20020
122	2283	19993
123	2303	19985
124	2320	19955
125	2337	19928
126	2356	19912
127	2373	19879
128	2391	19855
129	2409	19830
130	2426	19800
131	2443	19769
132	2460	19735
133	2476	19703
134	2494	19681
135	2512	19653
136	2530	19632
137	2546	19597
138	2563	19567
139	2580	19537
140	2597	19508
141	2614	19480
142	2633	19462
143	2650	19435
144	2669	19426
145	2686	19394
146	2705	19377
147	2724	19364
148	2742	19348
149	2754	19284
150	2772	19263
151	2793	19262
152	2811	19242
153	2829	19218
154	2847	19200
155	2865	19176
156	2883	19156
157	2900	19129
158	2918	19109
159	2935	19082
160	2952	19053
161	2969	19029
162	2986	19003
163	3004	18977
164	3021	18950
165	3038	18925
166	3055	18898
167	3072	18872
168	3089	18849
169	3106	18824
170	3122	18789
171	3139	18764
172	3156	18738
173	3172	18707
174	3191	18694
175	3210	18677
176	3227	18656
177	3244	18627
178	3261	18601
179	3278	18577
180	3296	18557
181	3314	18538
182	3330	18511
183	3347	18485
184	3364	18460
185	3381	18436
186	3399	18414
187	3416	18392
188	3433	18368
189	3451	18345
190	3467	18317
191	3484	18295
192	3504	18283
193	3521	18260
194	3538	18235
195	3555	18211
196	3572	18188
197	3589	18167
198	3607	18146
199	3626	18134
200	3645	18119
201	3665	18107
202	3683	18089
203	3702	18075
204	3719	18054
205	3737	18032
206	3754	18012
207	3773	17996
208	3793	17985
209	3811	17968
210	3829	17947
211	3847	17930
212	3864	17908
213	3883	17894
214	3900	17871
215	3918	17851
216	3935	17826
217	3951	17800
