distance_km,courier_reliability_score,rain_mm,wind_speed_kmh,weather_code,time_of_day,temperature_celsius,traffic_level,is_weekend,weather_severity,is_peak_hour,distance_bucket,rain_x_traffic,courier_x_distance,is_monsoon,day_of_week,wind_x_rain,weather_x_peak,courier_x_weather,traffic_x_dist,time_sin,time_cos,delay_probability,was_delayed
11.97,0.7599,0.0,11.06,2,19,25.0,77.0,0,1,1,2,0.0,0.0878,0,3,0.0,1.0,0.0196,0.3848,-0.9659,0.2588,0.6771,1
1.08,0.571,0.0,8.46,0,12,33.3,48.3,0,0,0,0,0.0,0.0599,1,4,0.0,0.0,0.0,0.0,0.0,-1.0,0.1514,1
5.02,0.7696,22.38,4.28,95,13,33.3,58.2,0,6,0,1,0.5626,0.0578,1,3,0.0518,0.0,0.1106,0.1454,-0.2588,-0.9659,0.99,1
10.15,0.9604,0.0,22.26,0,9,33.4,85.2,0,0,1,2,0.0,0.0055,0,0,0.0,0.0,0.0,0.4261,0.7071,-0.7071,0.4528,0
9.5,0.5404,0.0,27.71,2,16,28.2,36.6,0,1,0,1,0.0,0.2134,0,3,0.0,0.0,0.0519,0.0915,-0.866,-0.5,0.6047,1
10.67,0.5834,0.0,14.79,2,8,32.3,82.6,0,1,1,2,0.0,0.1924,0,3,0.0,1.0,0.0448,0.4128,0.866,-0.5,0.8766,1
5.93,0.6377,0.0,6.27,0,10,28.4,100.0,0,0,1,1,0.0,0.123,1,3,0.0,0.0,0.0,0.25,0.5,-0.866,0.7652,1
4.09,0.2716,0.0,12.68,0,10,33.4,87.5,0,0,1,0,0.0,0.2947,0,3,0.0,0.0,0.0,0.0,0.5,-0.866,0.9663,1
31.48,0.7379,0.82,7.91,51,22,22.4,28.7,0,3,0,4,0.0526,0.136,0,2,0.0181,0.0,0.0671,0.2869,-0.5,0.866,0.6788,1
12.88,0.6269,0.0,5.29,3,17,31.5,88.2,0,1,1,2,0.0,0.1746,1,4,0.0,1.0,0.038,0.4412,-0.9659,-0.2588,0.8624,0
5.02,0.6983,0.0,27.64,0,19,23.7,24.5,1,0,1,1,0.0,0.0866,0,5,0.0,0.0,0.0,0.0613,-0.9659,0.2588,0.1123,0
4.15,0.7925,0.0,53.29,1,18,28.4,100.0,0,0,1,0,0.0,0.0451,0,4,0.0,0.0,0.0,0.0,-1.0,-0.0,0.7476,1
19.86,0.5833,0.0,2.8,2,18,29.8,79.6,0,1,1,2,0.0,0.238,0,0,0.0,1.0,0.0448,0.3979,-1.0,-0.0,0.8788,1
5.04,0.8767,0.0,6.31,2,6,24.9,25.0,0,1,0,1,0.0,0.0227,0,1,0.0,0.0,0.0072,0.0625,1.0,0.0,0.0674,0
1.79,0.777,0.0,12.06,0,3,23.2,23.8,0,0,0,0,0.0,0.0315,0,3,0.0,0.0,0.0,0.0,0.7071,0.7071,0.0391,0
1.13,0.8406,18.81,12.26,65,17,27.8,79.5,0,5,1,0,0.7285,0.0141,1,0,0.1404,5.0,0.053,0.0,-0.9659,-0.2588,0.99,1
6.36,0.5556,0.0,31.16,0,21,28.3,36.7,0,0,0,1,0.0,0.1721,0,4,0.0,0.0,0.0,0.0919,-0.7071,0.7071,0.394,1
27.2,0.6091,0.0,13.95,1,15,38.6,24.3,0,0,0,3,0.0,0.2377,1,3,0.0,0.0,0.0,0.1819,-0.7071,-0.7071,0.2613,1
13.25,0.8329,1.09,49.19,61,20,24.2,89.9,0,3,1,2,0.2033,0.0528,0,2,0.1391,3.0,0.0342,0.4495,-0.866,0.5,0.9874,1
2.47,0.7525,0.0,13.86,1,11,34.3,38.1,1,0,0,0,0.0,0.0446,1,5,0.0,0.0,0.0,0.0,0.2588,-0.9659,0.0546,0
11.93,0.4214,0.0,4.83,0,10,33.5,86.3,0,0,1,2,0.0,0.3281,0,2,0.0,0.0,0.0,0.4315,0.5,-0.866,0.9244,1
17.89,0.897,11.84,16.08,81,22,24.9,27.2,1,4,0,2,0.213,0.0283,1,6,0.1575,0.0,0.022,0.1359,-0.5,0.866,0.8765,1
10.01,0.6522,21.34,7.58,82,11,36.9,42.5,0,5,0,2,0.4049,0.1433,0,2,0.0904,0.0,0.1709,0.2123,0.2588,-0.9659,0.99,1
1.71,0.5575,0.0,22.95,0,18,20.3,100.0,0,0,1,0,0.0,0.0856,1,3,0.0,0.0,0.0,0.0,-1.0,-0.0,0.8014,1
11.11,0.9139,0.0,34.36,3,10,30.2,67.1,0,1,1,2,0.0,0.0183,0,1,0.0,1.0,0.0042,0.3353,0.5,-0.866,0.5361,1
11.69,0.768,0.0,3.74,0,12,32.6,64.9,0,0,0,2,0.0,0.0827,0,0,0.0,0.0,0.0,0.3243,0.0,-1.0,0.2066,1
16.98,0.4955,0.0,15.72,2,18,26.5,100.0,0,1,1,2,0.0,0.3015,0,2,0.0,1.0,0.0597,0.5,-1.0,-0.0,0.9724,1
2.3,0.8152,0.0,7.53,1,18,26.4,99.9,0,0,1,0,0.0,0.0276,0,0,0.0,0.0,0.0,0.0,-1.0,-0.0,0.4963,1
20.35,0.6166,0.0,6.22,1,15,31.9,34.3,1,0,0,3,0.0,0.2116,0,6,0.0,0.0,0.0,0.2575,-0.7071,-0.7071,0.142,0
27.68,0.6891,0.0,20.35,0,5,20.2,41.9,0,0,0,3,0.0,0.1694,0,3,0.0,0.0,0.0,0.3139,0.9659,0.2588,0.2877,1
4.11,0.8385,0.0,11.04,1,15,31.3,21.0,0,0,0,0,0.0,0.0308,0,1,0.0,0.0,0.0,0.0,-0.7071,-0.7071,0.0328,0
28.53,0.6904,0.0,13.7,0,20,28.1,96.1,0,0,1,3,0.0,0.1698,0,1,0.0,0.0,0.0,0.7207,-0.866,0.5,0.8375,1
1.56,0.914,0.0,32.57,1,14,28.4,75.2,0,0,0,0,0.0,0.0069,0,1,0.0,0.0,0.0,0.0,-0.5,-0.866,0.1492,0
1.86,0.6131,0.0,2.56,2,20,26.0,100.0,0,1,1,0,0.0,0.0737,1,0,0.0,1.0,0.0401,0.0,-0.866,0.5,0.8013,0
7.86,0.1883,11.32,26.35,65,21,26.8,57.0,0,5,0,1,0.4394,0.4646,1,3,0.2539,0.0,0.6094,0.1425,-0.7071,0.7071,0.99,1
3.92,0.5382,0.0,8.22,0,17,29.8,80.0,0,0,1,0,0.0,0.1456,0,4,0.0,0.0,0.0,0.0,-0.9659,-0.2588,0.7155,1
7.37,0.8204,0.0,24.51,2,9,30.6,77.6,0,1,1,1,0.0,0.0471,0,4,0.0,1.0,0.0127,0.194,0.7071,-0.7071,0.6171,1
8.45,0.7573,0.0,1.05,0,15,33.1,36.9,0,0,0,1,0.0,0.0782,0,0,0.0,0.0,0.0,0.0923,-0.7071,-0.7071,0.0864,0
10.04,0.8948,0.59,31.53,61,18,26.7,37.1,1,3,1,2,0.0525,0.0239,0,5,0.0558,3.0,0.0171,0.1854,-1.0,-0.0,0.5616,1
20.21,0.949,0.0,7.47,0,10,34.3,80.4,0,0,1,3,0.0,0.0102,0,3,0.0,0.0,0.0,0.6028,0.5,-0.866,0.4158,1
19.88,0.7567,0.0,33.59,2,11,30.8,51.0,0,1,0,2,0.0,0.1062,1,1,0.0,0.0,0.02,0.2551,0.2588,-0.9659,0.5047,0
7.92,0.8515,0.0,14.21,2,10,29.6,71.7,0,1,1,1,0.0,0.0364,1,3,0.0,1.0,0.0095,0.1793,0.5,-0.866,0.509,1
